no of sites,inc mat,freq breakdown,inacc cost,satisfaction,delay rate
54,94,41,41,31,63.565999999999995
63,90,64,88,56,87.926
55,38,95,46,59,71.395
82,35,66,51,73,74.76599999999999
47,84,76,68,57,80.903
70,78,92,67,86,95.77099999999999
47,32,54,34,38,49.93
42,34,55,79,64,66.757
77,54,100,78,46,86.434
57,67,83,73,90,90.18299999999999
36,80,78,47,56,72.405
96,55,61,71,43,79.324
64,47,91,55,77,81.39
32,34,50,89,43,60.402
46,53,52,67,95,76.30799999999999
83,64,83,52,69,85.49499999999999
44,94,66,48,91,83.647
32,34,53,60,48,55.312
98,58,48,88,50,83.214
39,71,57,70,41,67.725
36,85,94,34,33,68.735
41,100,77,90,76,93.60000000000001
52,83,92,99,86,100.411
67,92,40,51,87,82.13
90,50,93,43,75,85.49600000000001
74,53,57,45,87,76.998
82,63,31,50,32,62.769999999999996
43,82,34,100,55,76.48499999999999
94,82,57,73,81,94.248
95,34,52,99,76,86.651
78,78,79,66,68,89.88199999999999
31,94,51,65,54,71.907
55,42,64,44,68,66.526
59,30,51,63,64,65.031
92,45,49,51,79,76.94800000000001
73,44,97,86,89,94.773
70,47,92,44,41,71.59299999999999
54,47,42,61,68,66.267
67,71,40,72,97,84.559
72,45,67,52,90,79.43799999999999
30,97,70,30,67,71.713
61,83,63,100,100,99.18599999999999
40,49,48,72,49,62.84899999999999
63,55,35,79,71,73.79799999999999
66,89,50,81,93,92.356
79,35,93,79,93,92.332
94,56,65,72,99,94.023
61,97,49,45,32,69.161
75,62,60,37,62,72.099
33,99,38,52,50,66.3
71,100,96,82,49,96.937
33,41,42,78,79,66.547
63,52,89,57,68,80.161
80,94,73,53,87,94.302
74,59,70,60,80,83.564
65,100,87,65,39,86.708
41,55,39,75,44,61.863
33,53,41,62,31,53.583
85,75,87,53,99,97.232
49,92,76,74,96,94.35199999999999
67,66,42,56,97,79.939
48,61,47,55,46,62.60300000000001
70,92,59,45,35,73.294
53,52,88,86,44,78.664
76,40,83,49,82,80.401
90,62,50,93,73,89.59200000000001
53,65,71,76,58,78.68799999999999
78,75,64,68,31,76.911
70,62,79,82,50,83.52
81,62,60,82,69,86.20100000000001
38,40,95,89,30,71.11299999999999
94,64,44,45,76,78.655
62,87,72,57,62,82.841
61,79,67,77,78,88.207
96,51,63,99,78,94.215
44,66,48,99,42,72.811
90,76,57,85,32,82.727
69,52,61,98,73,85.969
62,92,51,88,88,92.84
34,88,42,67,75,74.604
73,81,83,44,57,82.339
49,68,70,57,69,76.286
63,82,94,95,96,104.795
53,63,59,34,73,68.741
32,81,33,93,74,76.289
69,60,72,34,33,65.253
77,79,61,70,64,85.48400000000001
79,98,69,56,90,95.524
40,33,30,55,43,48.952
76,66,71,57,80,85.27099999999999
43,80,71,90,80,88.72
90,89,30,41,97,84.54400000000001
77,30,72,91,63,81.07
83,35,77,47,81,78.68
72,78,59,58,75,83.321
53,88,57,30,77,74.361
76,73,88,65,84,94.051
80,56,72,95,39,83.232
49,34,45,42,51,53.835
85,76,82,45,99,94.312
86,46,82,88,87,94.743
70,54,62,94,91,90.381
95,52,92,57,70,89.12700000000001
74,45,45,60,74,72.578
81,40,41,91,35,70.054
60,68,85,66,44,78.67
37,88,52,44,33,61.891000000000005
81,31,76,97,78,88.391
50,89,58,56,97,85.34100000000001
86,61,64,46,37,71.55499999999999
86,36,98,93,85,96.932
49,90,72,43,58,76.04499999999999
52,78,35,49,58,66.273
71,60,92,37,48,75.021
86,100,75,30,73,88.68700000000001
58,31,94,63,63,75.28
39,51,88,63,91,80.958
85,89,47,30,100,85.54400000000001
63,91,98,48,80,92.626
82,92,83,62,56,91.33
52,75,30,32,75,64.355
75,47,44,76,91,81.117
35,59,95,32,42,64.112
76,37,40,58,99,75.529
76,37,31,37,31,51.57
51,72,90,48,63,78.969
45,74,37,62,49,65.045
93,54,77,43,63,80.354
58,62,61,66,45,71.111
94,74,86,36,59,84.991
46,52,85,82,70,81.636
48,85,61,72,35,73.31099999999999
97,72,73,36,62,82.792
75,58,32,52,30,60.096
78,72,67,35,54,74.527
46,91,82,81,89,94.832
87,90,78,55,89,97.21599999999998
66,71,64,34,50,69.424
57,44,58,31,52,58.955000000000005
84,66,48,45,43,69.614
80,86,55,59,34,76.431
84,59,58,59,64,78.893
93,96,43,32,50,76.448
41,47,38,94,63,68.939
42,95,100,75,83,96.304
63,97,60,83,40,83.523
89,98,90,55,39,90.32999999999998
38,57,56,40,94,69.518
86,61,86,69,65,89.37199999999999
46,64,47,40,50,60.18599999999999
70,37,90,51,86,81.39099999999999
57,31,74,95,95,85.774
57,59,87,36,59,72.621
100,89,72,99,88,109.101
63,34,72,56,95,77.993
89,85,51,71,98,95.98499999999999
100,67,33,53,40,71.279
63,49,52,76,32,66.19800000000001
36,41,81,51,78,69.983
33,51,52,58,87,68.527
99,78,35,86,87,93.743
50,34,76,65,35,63.31
37,34,72,78,41,63.817
94,90,94,65,49,95.444
47,55,69,32,95,72.68099999999998
74,74,36,59,100,83.585
52,79,62,55,94,83.38300000000001
84,32,98,94,35,83.465
74,96,84,86,100,107.226
70,50,41,35,34,55.979
74,69,76,30,33,68.663
83,81,86,55,57,88.16399999999999
65,97,87,55,34,82.32099999999998
45,57,81,92,45,77.943
97,79,47,40,84,84.518
69,65,98,76,95,98.213
66,66,50,38,78,72.62
71,100,60,38,82,85.54599999999999
61,33,68,84,83,80.15299999999999
74,76,67,69,96,93.08699999999999
75,33,74,55,58,71.833
87,54,53,59,57,75.464
35,78,74,46,79,76.091
80,32,65,32,43,61.339
98,34,74,67,73,84.23399999999998
78,60,75,48,91,85.775
34,66,42,99,85,79.462
85,53,87,40,99,88.705
50,80,31,98,75,81.37299999999999
100,43,47,63,77,80.33399999999999
60,97,95,87,95,105.78399999999999
32,91,66,59,85,81.214
30,75,63,51,32,61.165000000000006
35,45,97,36,74,69.996
67,63,71,50,33,69.145
99,49,54,62,92,86.696
61,87,94,54,58,86.258
70,62,39,55,91,77.244
97,68,66,98,56,93.70400000000001
88,46,52,47,52,69.369
45,47,71,99,34,72.069
49,30,93,34,36,58.952000000000005
82,50,79,66,78,86.46799999999999
67,32,91,47,61,72.592
50,77,30,69,45,66.0
83,63,49,90,52,82.024
74,34,86,58,57,75.247
34,97,92,30,88,83.194
86,55,35,73,93,83.29599999999999
75,51,42,66,35,65.455
35,93,100,59,68,86.559
50,55,69,86,75,81.62899999999999
30,77,53,45,50,62.165000000000006
87,67,53,99,58,88.601
79,85,58,94,40,86.652
56,70,85,82,77,90.163
57,67,69,34,77,74.10499999999999
70,42,39,53,73,67.46799999999999
70,98,77,63,31,82.544
97,84,43,60,99,93.297
40,93,68,76,96,90.952
47,38,62,81,79,74.812
89,42,48,63,96,82.327
89,74,94,95,79,104.97000000000001
68,78,79,87,74,94.035
73,63,76,37,67,76.988
41,89,85,62,68,84.104
59,38,73,90,99,87.487
89,43,64,75,62,81.06099999999999
59,74,74,60,64,80.65
96,97,96,32,46,89.36999999999999
73,86,79,93,35,89.10000000000001
67,49,90,34,41,68.437
62,62,61,45,42,66.241
36,80,85,100,54,86.502
38,84,70,34,52,67.774
69,60,38,54,37,62.797
83,35,65,70,68,78.15599999999999
41,85,66,87,35,76.482
94,56,89,46,53,82.291
54,98,45,70,34,73.3
89,35,39,82,44,70.3
76,45,94,87,59,87.904
53,73,54,83,100,88.483
60,68,82,86,75,90.393
56,31,72,91,43,71.332
41,35,100,90,34,73.062
86,38,33,31,36,54.489
60,96,81,65,36,82.32300000000001
51,77,80,56,46,75.52799999999999
52,44,60,70,67,71.38499999999999
85,61,90,47,50,81.08500000000001
100,44,53,31,37,64.46600000000001
55,80,49,89,50,78.663
40,42,66,74,64,69.69399999999999
40,53,40,41,85,63.16
50,78,49,37,69,68.984
39,98,33,58,75,73.871
82,44,31,95,30,68.57900000000001
93,85,99,72,63,100.33299999999998
59,85,89,58,91,93.123
35,74,69,87,65,80.42799999999998
93,81,53,40,44,75.702
64,56,48,49,70,69.92099999999999
85,54,53,36,34,63.756
41,40,30,48,42,48.956
40,37,98,54,92,78.282
92,43,38,81,68,78.371
84,73,71,47,37,75.94999999999999
71,77,39,33,76,72.125
95,83,61,87,93,102.05199999999999
41,47,51,36,75,60.957
44,49,58,44,82,67.538
71,39,81,89,30,75.439
77,94,34,86,72,88.404
81,91,36,58,41,74.729
55,82,80,74,57,84.785
65,99,94,80,96,105.782
73,31,50,75,78,74.765
71,44,78,64,67,78.917
75,65,82,57,100,92.369
32,65,65,77,50,70.425
72,36,44,70,89,75.759
43,98,68,77,86,90.691
55,68,44,86,94,84.566
48,77,97,31,51,74.10000000000001
34,98,49,40,97,77.581
52,47,80,60,74,76.282
81,35,95,63,69,83.536
73,69,94,63,39,82.30199999999999
67,74,59,48,80,79.93
49,76,59,65,69,77.498
99,38,61,96,76,90.062
46,54,63,58,30,61.124
54,80,60,60,86,82.878
57,45,59,54,92,74.832
79,34,97,68,93,90.39099999999999
43,45,75,62,82,74.842
88,90,65,40,65,84.761
62,30,52,37,71,61.397999999999996
99,99,79,72,96,108.40599999999999
96,63,86,99,64,99.32499999999999
75,77,47,69,82,85.263
36,48,86,39,93,73.67
52,34,32,43,46,50.407
89,96,97,50,88,102.34
60,86,97,78,49,90.131
35,79,98,58,36,74.572
49,91,57,83,35,76.714
47,89,87,37,40,73.109
45,32,70,41,81,65.586
36,46,82,39,39,58.976000000000006
50,36,73,39,35,56.748000000000005
50,35,63,55,97,73.142
78,55,87,80,64,88.644
85,87,98,80,38,94.46000000000001
43,83,81,85,94,94.107
57,91,69,94,94,98.706
78,71,76,44,60,80.13600000000001
73,83,71,71,72,90.135
41,43,77,94,44,72.824
89,64,37,96,96,93.02999999999999
51,55,98,72,39,76.725
42,71,62,97,94,89.217
80,89,90,93,54,98.86500000000001
80,90,49,64,88,90.388
42,63,91,53,46,71.889
37,86,37,30,99,70.511
83,65,74,76,70,89.62
74,61,36,32,40,59.152
38,44,91,57,30,63.337
93,60,32,53,56,71.553
99,95,40,57,34,79.079
46,67,41,56,70,68.24199999999999
47,68,32,85,38,65.739
38,56,46,90,82,76.04400000000001
33,82,49,59,69,71.19200000000001
86,42,65,39,36,65.21699999999998
97,71,96,35,72,90.367
98,100,63,97,53,100.044
46,47,38,88,58,67.466
58,83,97,35,52,79.201
52,68,40,73,34,65.005
86,51,33,68,92,80.372
36,97,95,45,99,90.74999999999999
61,87,63,91,63,88.91
68,81,83,51,80,88.465
30,62,45,90,88,76.798
42,46,78,53,66,69.469
59,55,55,43,80,71.167
73,68,43,64,50,72.55199999999999
61,78,62,90,30,78.142
58,79,45,83,36,73.281
94,90,77,31,30,78.37899999999999
70,36,78,56,63,73.799
98,44,34,83,81,82.762
80,89,99,96,33,96.645
39,49,79,85,56,75.045
60,39,68,52,86,74.334
60,54,62,59,48,68.921
38,36,53,72,48,60.168
94,98,58,99,65,100.794
97,82,47,44,98,89.65199999999999
91,73,83,67,89,98.172
77,58,66,41,68,75.513
78,36,47,53,88,73.567
45,60,36,88,75,74.07300000000001
77,34,31,69,50,63.510999999999996
80,71,39,76,71,82.06299999999999
44,48,99,57,73,78.252
41,83,74,33,57,70.214
59,41,63,67,61,70.88
65,33,65,47,81,70.90799999999999
35,71,79,56,47,70.193
52,95,42,60,73,78.47699999999999
58,32,72,43,89,71.666
95,87,70,90,79,102.523
71,57,68,51,36,68.895
58,73,66,32,34,64.05799999999999
93,82,36,47,40,72.51899999999999
39,35,31,85,42,56.487
37,59,82,64,63,74.345
85,81,92,63,61,93.036
79,75,92,80,84,99.886
52,47,91,42,73,74.34700000000001
97,90,82,77,100,108.65299999999999
65,30,60,95,62,75.965
86,96,94,57,44,91.803
49,80,96,50,33,75.03699999999999
54,39,81,49,84,74.835
80,83,70,63,90,94.05099999999999
52,38,90,40,37,62.601
95,97,96,85,47,102.252
53,87,50,54,87,80.691
35,78,92,59,88,85.84700000000001
92,71,47,34,67,75.733
60,37,49,33,95,66.798
44,44,44,31,69,56.55800000000001
82,73,97,87,62,97.655
100,96,67,41,39,83.48999999999998
30,52,89,53,55,68.018
32,100,42,91,36,73.32499999999999
47,37,89,60,74,74.828
49,51,100,53,66,77.75099999999999
70,61,38,67,73,75.262
77,87,33,66,34,72.282
44,91,74,55,88,85.833
94,88,46,89,45,88.096
95,83,57,59,32,79.327
90,66,38,39,51,69.128
52,33,62,78,71,72.113
31,100,51,42,43,65.08699999999999
48,88,52,94,95,91.893
69,49,77,61,38,71.575
99,40,84,63,83,89.858
42,81,56,96,93,89.705
95,79,85,71,60,94.959
99,54,91,55,53,85.688
90,32,82,64,35,73.723
44,94,88,98,36,87.69
54,95,43,34,45,66.027
65,51,82,51,41,70.62
65,87,73,95,49,89.85999999999999
84,68,56,89,30,79.56099999999999
42,57,42,40,46,55.31
60,49,65,58,35,65.005
51,97,31,30,77,69.729
72,85,75,98,63,95.713
70,51,70,54,81,79.431
90,73,30,83,30,74.431
58,63,71,82,83,86.993
78,75,59,42,67,78.19300000000001
62,97,62,36,32,70.38799999999999
83,64,38,89,71,83.996
90,80,94,94,51,99.573
38,54,78,57,55,68.72999999999999
60,34,61,77,50,68.661
66,49,56,35,42,60.38699999999999
75,79,51,73,76,86.22900000000001
30,100,35,94,62,78.232
80,57,46,69,51,73.754
83,69,34,95,88,89.863
57,88,87,95,55,93.054
67,40,46,53,80,69.67699999999999
50,40,68,44,93,71.929
46,72,46,36,69,65.577
76,43,46,93,92,85.24700000000001
84,38,44,90,93,84.991
80,87,86,95,94,107.68699999999998
85,61,65,86,36,81.03200000000001
53,60,82,39,48,68.71100000000001
56,58,45,43,52,61.873
79,55,47,33,74,70.155
35,83,47,90,74,80.19
66,93,95,90,96,107.234
94,39,63,47,72,76.697
78,58,50,94,87,89.38499999999999
72,86,89,60,37,83.769
89,81,53,93,77,95.698
45,49,82,100,83,87.489
50,86,33,53,76,72.63499999999999
72,99,79,67,50,89.387
44,98,49,46,75,76.069
71,77,40,95,97,92.58
75,54,38,44,87,72.605
42,38,49,38,75,59.001
48,53,65,92,78,81.874
52,40,40,63,86,68.483
52,62,58,32,40,59.44
48,30,62,82,46,65.25999999999999
80,66,52,68,63,80.111
36,79,94,51,35,71.892
43,52,69,48,81,71.439
59,42,33,44,99,67.52499999999999
58,48,40,100,59,74.26299999999999
34,67,57,31,68,62.67700000000001
59,30,53,80,41,64.015
65,93,39,46,72,76.756
32,42,54,31,77,57.566
35,89,97,33,94,84.90299999999999
60,66,94,47,53,77.966
92,36,57,83,44,75.905
30,74,71,49,85,75.372
58,86,69,32,35,68.207
51,68,88,50,68,79.216
79,32,90,33,38,66.21499999999999
58,100,87,36,84,88.992
98,99,62,87,92,106.68099999999998
37,88,61,66,30,68.698
36,49,85,36,52,62.896
69,54,78,56,53,75.49900000000001
48,72,85,44,92,83.15599999999999
46,37,69,32,57,58.736999999999995
51,40,36,63,77,65.05999999999999
44,75,73,59,49,73.102
30,33,79,80,71,71.423
97,44,100,52,54,84.476
83,56,89,85,31,83.71600000000001
96,57,93,43,65,86.206
63,33,36,54,43,55.73899999999999
69,44,87,79,39,77.41399999999999
99,69,95,39,57,87.416
96,70,51,47,93,86.96199999999999
96,47,94,85,61,93.23599999999999
95,100,59,72,97,103.047
50,68,75,96,93,93.105
64,80,66,78,77,88.931
47,34,70,93,69,76.254
40,44,42,50,36,51.634
54,36,81,40,36,60.156
66,40,98,89,93,94.056
72,93,55,32,44,72.092
55,67,50,67,94,81.169
53,73,45,43,42,62.357
77,94,46,36,57,75.50699999999999
96,96,93,42,57,93.519
77,100,32,73,87,89.896
97,37,95,32,88,85.018
48,98,58,33,85,78.524
94,45,35,48,98,77.942
84,46,38,97,35,72.97
44,80,64,98,61,84.543
66,90,40,37,83,77.018
83,54,53,77,52,77.645
93,48,83,76,75,91.313
36,76,30,34,90,64.888
51,98,38,94,55,81.84299999999999
100,46,90,92,74,97.86999999999999
47,83,45,41,43,63.104
95,57,90,38,89,89.89699999999999
97,85,99,68,57,98.85900000000001
37,36,91,61,85,75.59
57,49,45,97,38,69.611
70,48,48,36,44,59.891999999999996
34,52,66,90,62,74.08
67,43,98,37,55,73.08399999999999
53,67,48,99,73,82.828
36,83,85,60,46,75.55399999999999
90,70,47,69,90,89.145
73,81,66,71,39,80.34200000000001
64,98,84,74,82,97.968
46,41,77,75,51,70.644
99,40,82,69,61,85.43799999999999
34,33,70,71,50,62.863
96,87,88,35,55,87.91199999999998
98,44,68,53,88,85.48299999999999
53,52,84,45,100,81.445
83,95,31,60,93,88.195
56,90,37,44,83,75.56700000000001
89,92,73,31,76,87.95100000000001
52,86,40,89,69,81.86
57,34,87,58,35,65.987
30,86,86,58,58,77.532
88,65,56,45,31,69.35000000000001
38,62,71,77,61,75.304
64,33,67,40,91,71.90299999999999
99,49,89,38,57,80.82900000000001
33,50,68,68,35,61.876999999999995
40,38,64,83,99,78.99199999999999
34,83,75,78,85,86.55900000000001
87,85,33,69,78,85.723
69,50,31,32,56,57.958
35,58,68,31,35,55.322
95,40,77,92,62,89.08399999999999
38,87,76,47,39,69.944
59,48,72,94,52,79.13999999999999
76,40,73,46,33,65.22699999999999
54,32,91,73,51,73.31400000000001
58,67,57,98,30,75.45599999999999
51,35,98,53,36,66.493
46,85,88,59,33,75.76599999999999
96,57,84,40,49,79.36099999999999
51,96,43,54,84,79.96
81,81,55,69,100,94.053
81,84,44,51,43,73.762
58,85,33,75,74,79.18299999999999
98,30,66,52,36,68.596
41,93,38,35,79,69.74600000000001
64,74,59,64,54,76.722
47,76,49,66,53,70.89699999999999
43,48,78,68,50,69.924
54,47,56,56,73,69.69300000000001
54,32,50,59,72,65.053
36,59,89,82,100,89.25
65,66,89,54,76,85.292
35,33,93,95,44,73.079
45,50,40,99,30,64.25699999999999
87,90,80,82,69,99.365
75,83,88,89,48,93.26100000000001
74,86,89,80,41,90.093
82,73,58,35,31,67.908
78,65,35,95,87,87.67599999999999
70,69,76,73,82,90.149
41,61,30,86,75,71.399
57,88,66,47,41,72.836
45,80,95,95,47,88.19000000000001
81,62,75,34,46,72.562
50,88,67,60,83,84.83500000000001
92,83,86,51,86,96.963
46,35,73,33,59,59.95799999999999
49,51,97,59,50,74.557
82,75,37,40,35,65.467
99,87,39,69,37,80.53399999999999
85,97,51,74,70,91.814
89,93,68,98,99,108.89099999999999
73,89,61,75,72,90.131
35,94,44,40,83,72.197
79,95,36,41,82,81.135
82,35,94,94,40,83.962
97,95,85,88,77,107.64299999999999
62,44,95,89,76,89.167
30,73,67,94,65,80.187
93,91,36,42,84,84.28
63,97,77,32,60,80.178
49,35,48,52,94,67.776
35,35,35,51,36,46.763
43,74,81,78,61,82.125
63,51,66,60,44,69.154
92,54,37,71,97,85.48599999999999
58,33,54,76,98,77.74199999999999
64,87,88,96,46,92.78599999999999
30,66,51,92,57,72.12899999999999
61,100,57,78,78,91.134
30,52,42,55,98,67.571
54,95,62,82,34,79.63199999999999
58,97,87,54,51,84.549
71,78,78,45,64,81.86099999999999
77,58,96,33,93,87.014
67,64,69,57,80,82.11699999999999
32,66,44,41,95,67.822
42,46,64,53,30,57.233
63,44,77,87,79,85.266
65,75,100,43,51,81.37400000000001
44,74,87,37,62,74.113
84,68,73,35,77,82.10199999999999
65,89,61,67,68,85.27099999999999
54,92,42,46,93,79.72699999999999
42,32,69,75,95,76.30799999999999
30,63,90,79,56,77.509
83,63,65,45,94,85.283
34,66,40,71,80,70.945
56,72,100,34,35,72.357
43,55,39,93,92,78.481
60,37,46,55,35,56.712
39,58,36,61,60,61.89699999999999
53,77,41,59,75,74.33
81,68,100,55,89,95.76400000000001
43,34,100,51,57,69.46
55,56,90,58,99,87.283
86,38,73,86,58,83.00399999999999
78,45,64,76,69,80.845
43,36,47,79,78,68.965
94,81,97,58,46,91.544
51,96,90,52,68,87.02199999999999
80,93,87,95,44,97.14500000000001
69,90,61,33,84,82.14099999999999
90,34,56,57,41,67.636
70,68,92,85,31,84.22999999999999
30,41,64,80,68,68.97999999999999
53,72,48,75,55,73.80599999999998
87,94,53,57,68,87.43299999999999
39,98,92,63,94,94.137
43,48,88,52,98,80.23599999999999
84,84,36,56,45,74.241
37,58,57,39,44,57.271
60,61,71,63,34,70.36699999999999
65,65,94,60,99,93.36099999999999
56,83,66,31,73,75.326
95,45,40,67,71,77.40599999999999
35,56,84,63,57,71.904
35,77,94,32,31,65.565
90,67,49,91,70,89.34700000000001
57,76,61,66,67,79.67500000000001
30,68,63,86,60,74.822
65,73,69,77,53,82.074
95,72,38,93,31,80.02399999999999
63,44,80,78,48,76.216
50,38,63,30,68,60.694
79,42,54,31,52,62.815000000000005
47,96,51,59,67,77.994
41,82,93,95,89,97.512
57,89,30,76,44,72.078
52,70,60,57,62,73.345
87,57,78,59,83,88.666
83,49,88,63,60,83.52300000000001
69,68,48,36,75,72.125
49,37,93,52,74,74.344
66,86,63,71,44,80.36099999999999
50,63,92,76,41,78.433
83,96,86,47,93,98.69999999999999
36,33,70,69,59,65.06599999999999
61,42,71,89,32,71.801
48,89,35,31,58,63.615
70,53,63,79,50,76.691
70,43,93,53,81,82.84799999999998
99,85,41,78,42,83.946
99,75,71,92,40,91.73799999999999
57,50,67,45,55,66.752
74,48,30,61,50,64.013
81,53,95,63,32,78.863
62,86,52,31,41,66.254
64,35,54,81,51,69.382
97,46,99,62,75,92.295
44,71,46,35,56,61.42099999999999
30,68,67,41,42,60.452999999999996
42,76,79,67,47,75.77999999999999
84,85,78,62,51,87.661
95,64,47,94,65,88.841
60,99,82,97,39,91.81
32,43,93,33,73,66.832
85,45,54,59,74,77.193
78,59,81,47,71,81.85199999999999
48,61,49,88,91,82.135
47,58,95,69,41,75.518
83,82,43,50,100,87.23599999999999
30,43,56,39,71,58.288
42,82,62,52,44,68.716
51,31,43,42,58,54.814
90,54,68,58,60,80.342
91,60,60,34,87,80.879
78,93,95,48,91,98.707
52,65,82,87,71,86.98799999999999
67,66,73,56,96,87.258
36,50,53,61,47,60.182
99,77,79,43,35,81.04599999999999
95,41,92,31,64,78.655
40,41,90,53,30,61.873
38,35,49,53,34,50.900999999999996
33,82,44,74,49,68.717
40,62,72,49,82,74.373
71,50,84,86,67,87.191
33,98,71,84,63,85.06899999999999
63,92,73,90,95,100.65100000000001
50,95,99,36,48,79.944
99,51,71,34,40,71.788
92,47,62,48,74,78.654
63,60,96,36,69,78.963
57,50,53,75,62,72.341
61,65,71,48,66,75.78
99,91,49,64,94,96.69999999999999
88,90,67,54,91,95.021
55,32,92,65,75,77.736
49,41,57,85,40,66.22500000000001
45,47,80,68,75,76.777
40,66,43,55,43,60.176
68,31,93,86,42,77.9
64,77,57,42,76,77.01
64,81,70,82,88,93.818
67,80,30,98,80,86.46799999999999
32,66,37,56,87,67.79899999999999
45,91,77,75,76,88.727
63,48,76,97,93,91.85799999999999
59,55,90,48,32,69.162
92,76,68,55,66,86.935
42,35,86,72,34,65.514
62,87,48,57,69,78.7
37,59,74,67,79,77.042
58,72,38,74,100,83.358
44,89,84,44,43,74.087
44,75,57,57,72,74.34700000000001
78,77,87,100,62,98.38199999999999
67,70,67,76,74,86.24
55,90,34,63,52,71.615
90,47,31,32,96,72.108
37,77,35,83,59,70.90599999999999
47,45,54,82,72,73.096
89,58,68,98,31,83.691
86,89,45,51,87,87.216
69,65,43,68,83,79.90899999999999
38,84,94,54,77,84.615
50,64,98,76,41,80.141
90,70,67,62,78,89.384
56,62,98,35,73,78.982
66,30,55,92,73,76.953
62,52,73,66,87,82.857
44,94,100,98,82,101.888
51,34,42,36,60,54.33399999999999
66,47,66,51,92,78.477
89,43,59,48,76,76.71000000000001
36,52,35,80,63,64.815
87,91,47,50,70,84.02600000000001
30,75,55,47,56,64.12100000000001
30,51,47,58,95,68.541
83,54,30,72,87,79.393
41,81,40,85,80,79.701
59,96,39,77,59,80.384
65,60,49,41,90,74.339
46,83,88,57,99,90.96199999999999
70,96,81,95,32,91.053
53,51,36,87,77,74.06
71,42,37,37,81,65.294
55,53,78,82,63,80.635
90,63,53,100,61,89.32900000000001
30,61,35,80,82,70.214
76,67,67,61,79,85.266
60,41,63,32,57,61.637
70,34,71,41,37,61.587999999999994
71,61,38,95,90,86.473
66,100,87,100,30,93.24999999999999
56,66,84,40,67,76.287
97,56,71,59,30,76.14899999999999
80,79,33,67,38,72.279
78,79,31,40,75,73.811
58,30,91,32,50,63.586
91,69,90,37,71,87.204
45,54,44,47,37,55.288000000000004
49,97,95,77,88,98.977
77,41,76,100,78,90.592
82,83,94,75,45,92.28200000000001
31,43,41,79,61,62.13999999999999
33,33,92,79,31,65.278
74,40,42,95,66,77.17099999999999
82,78,73,34,98,88.96000000000001
92,98,97,83,60,104.713
63,70,78,94,74,92.32999999999998
76,52,77,73,39,77.162
40,100,44,35,69,70.226
51,93,73,32,55,74.097
98,86,71,87,62,98.35499999999999
99,76,46,76,67,88.60900000000001
56,92,41,63,86,82.383
36,69,48,61,59,66.538
81,65,30,43,100,77.731
53,91,82,83,38,84.517
37,68,66,30,58,63.15
98,60,31,31,84,74.033
64,97,90,86,51,94.509
59,41,34,53,84,66.03699999999999
38,51,63,53,68,66.551
51,63,39,59,99,75.82199999999999
76,59,98,66,52,85.478
45,35,83,49,35,60.164
54,32,89,72,48,71.848
41,83,51,54,43,66.27499999999999
46,41,68,100,68,78.68799999999999
47,39,35,33,70,54.599
83,92,58,53,39,79.12
76,96,77,76,94,102.102
70,94,60,56,94,91.154
81,93,37,87,98,96.47299999999998
38,78,79,65,96,86.819
67,73,73,34,35,68.675
96,92,85,35,94,97.955
80,69,41,31,69,70.638
86,54,79,53,56,79.863
46,54,42,72,33,60.13699999999999
51,57,70,32,87,72.42099999999999
72,67,66,52,59,76.967
41,71,73,81,76,83.361
69,91,52,99,85,96.47200000000001
58,74,54,52,53,70.889
60,76,48,87,31,73.512
95,87,84,37,86,94.775
54,68,64,76,83,84.07900000000001
41,51,35,85,77,70.426
35,73,74,60,74,77.048
66,65,32,69,45,67.432
93,32,56,84,64,80.07
47,40,67,72,51,67.473
56,61,65,37,84,73.86699999999999
56,84,61,65,61,79.672
51,64,55,87,69,79.424
48,80,62,87,74,85.535
72,61,54,95,38,77.879
40,37,48,85,86,72.14500000000001
100,39,99,65,64,89.34700000000001
46,79,91,98,57,90.391
76,94,98,99,67,105.71200000000002
90,89,46,77,93,96.216
75,30,75,69,49,72.54199999999999
38,61,95,50,36,68.22999999999999
93,32,74,93,76,89.58900000000001
93,61,40,70,94,87.19
44,100,36,32,90,73.658
52,52,54,46,84,70.20599999999999
59,73,100,61,57,85.278
65,94,93,78,63,95.747
60,31,77,95,94,86.987
70,37,78,35,34,61.834999999999994
69,94,38,71,86,87.22899999999998
75,80,64,86,66,90.354
46,84,80,98,68,91.62199999999999
30,59,39,40,76,59.512
84,71,81,49,63,84.758
75,48,55,86,83,84.51499999999999
52,73,77,71,99,90.692
72,63,61,77,44,77.17099999999999
36,68,61,87,83,81.664
73,50,64,94,30,75.67399999999999
99,33,93,90,90,98.622
92,34,64,99,44,81.013
48,71,76,33,75,73.87799999999999
47,40,83,67,65,73.592
46,94,93,96,72,97.728
76,35,60,97,43,75.678
85,81,100,64,52,93.026
79,51,79,61,63,81.096
35,43,97,48,39,63.849
55,80,78,89,94,96.51899999999999
64,39,57,69,84,76.259
100,86,59,51,57,85.938
91,50,40,88,81,85.21099999999998
38,87,52,58,80,76.806
87,90,82,58,73,95.00099999999998
89,85,55,90,74,95.698
93,78,31,80,90,90.592
59,46,93,44,77,77.751
55,79,50,87,35,74.502
88,37,66,66,61,77.411
64,72,84,57,70,84.553
96,83,76,45,56,86.68299999999999
97,93,31,66,62,84.958
68,31,31,63,85,67.718
78,60,96,56,49,82.553
99,41,84,88,77,94.707
